potao ku'm perm hornet. anih 'long. rogoh hloh wa tah horn todrong pogdp. kra. yang lam noh. ||| vua lập một. nơi. cực. thánh ở giữa ðền. thờ, phía trong, để đặt. hòm. bia. giao ước của ðức. chúa.
tơdah jơ̆ng inh yak weh đơ̆ng trong 'lơ̆ng tơpăt,. tơdah jơhngơ̆m inh năm kiơ̆ măt inh lăng,. tơdah đei mơgrĭ klep lăm ti inh,. ||| nếu chân tôi đi trệch đường, lòng chiều theo con mắt, và tay dính vết nhơ,
tơdah khôi juăt. ih ưh kơ pơm kơ inh hiôk. . lei inh lôch hiong boih, lầm năr inh pơmat-tat. ||| nếu luật-pháp. chúa không làm sự tôi ưa-thích, át tôi đã bị diệt-vong ưong cơn hoạn-nạn.
tơdah kon adruh 'bok soi ngôi kư̆ kă, noh jơ̆ pơm kơnê̆ kơ anăn 'bă sư, na đe gô soh sư lăm ŭnh. ||| nếu con gái thầy tế-lễ đi dâm-ô, tự làm nên kỵ-nữ, ấy là làm ô danh cho cha nó, nó phải bị thiêu lửa.
tơdah kon pơlei lăm char âu đơ̆p muh măt sư ưh kơ wă lăng dah ưh kơ pơlôch bơngai noh, kơplah bơngai noh jao kon hơ'lơ̆p sư kơ yang. mơlŏk,. ||| nếu dân bổn-xứ nhắm mắt khi người đó dâng một trong các con-cái nó cho thần. mo-lóc mà chẳng giết nó đi,
tơdah kon pơlei pơla. inh, đe krao lu sư kon. inh, drap bon kơkuh, krao khan, chơchă. inh păng tơbral achăng lễ trong kơnễ lei. inh oei kơpaỉ plẽnh ti gô mỡng, mơnat ăn huay pă jỗ yoch lu sư păng ăn teh lu sư thoi đêl. ||| nếu dân. ta, dân vốn kêu cầu. danh. ta, mà biết hạ mình xuống khẩn nguyện và tìm kiếm. nhan. ta, từ bỏ những con đường xấu xa mà trở lại, thì. ta, từ trời,. ta sẽ nghe và thứ tha tội lỗi nó và sẽ phục hưng xứ sở của nó
tơdah kon sâu sư achăng lề tơdrong juătinh, ưh kơ kiở nỏy. inh tơtă. ||| nếu con-cháu người bô luật-pháp ta,. không đi theo mạng-lịnh te,
tơdah kĕch yuă 'ba lăm tơring iĕm, 'nĕ kơ yuă kĕch truh tơmum jih kơ mir păng kư̆m 'nĕ kơ dônh lu 'ba mă huŏng. athei 'măn lu 'ba noh kơ lu bơngai dơnuh hin păng lu bơngai tơmoi,. inh boih. kră. yang 'bok. kei-dei lu iĕm. ||| khi các ngươi gặt lúa trong xứ mình, chớ gặt tận đầu đồng, và chớ mót lúa sót lại; hãy để phần đó cho người nghèo và cho kẻ khách ngoại-bang:. ta là. giê-hô-va, đức. chúa. trời của các ngươi.
tơdah kơplah sư iung kơdâu sư hiĕk ăr kơ aseh hăm bơngai hao aseh. ||| nhưng đến hồi cất cánh tung bay, nó coi thường ngựa phi và người cưỡi.
tơdah kơtĕch boih măng năr oei rơgoh tơpŭ nge drŏ-nglo dah drŏ-kăn sư, ăn kơ sư năm ba nge noh kơ 'bok soi tơ. bơsŭn. anih. akŭm chĕp ba minh pôm kon triu minh sơnăm, wă pơm tơmam soi 'buh păng minh pôm kon kơtơp dah pơgâm wă pơm tơmam soi huai đơ̆ng yoch. ||| khi kỳ làm mình cho thanh-sạch về đứa trai hay gái đã trọn rồi, người đàn-bà phải dâng cho thầy tế-lễ tại cửa hội-mạc một chiên con một tuổi, đặng làm của-lễ thiêu, và một bồ-câu con hoặc một cu con đặng làm của-lễ chuộc tội.
tơdah lu bơngai mă wă pơlôch 'mong iung kơting druh 'moi sư, lu kră pơlei noh ưh kơ rôp jao bơngai mă pơlôch đe noh ôh, yua kơ bơngai noh pơlôch tơduă rông 'bôt sư, hăm tơdrong ưh kơ đei hơch 'bơm, ưh kơ đei chă tơhil klai areh băl adrol ôh,. ||| nếu kẻ báo thù huyết đuổi theo, các trưởng lão chớ nộp kẻ sát nhân vào tay người; vì kẻ ấy giết người lân cận mình, không có ý muốn, và trước khi vốn không ghét người.
tơdah lu iĕm achăng lê̆. kră. yang, na kơkuh kơ yang tơmoi, kơplah noh. sư gô wih pơlôch pơrăm pơgoh lu iĕm, đang kơ. sư pơm 'lơ̆ng boih kơ lu iĕm đei truh tơ năr 'nâu.". ||| nếu các ngươi bỏ đức. giê-hô-va, đi hầu việc các thần ngoại bang, thì. ngài sẽ trở lòng giáng họa cho các ngươi sau khi đã làm ơn cho các ngươi.
tơdah lu iĕm hli yom kơ. kră. yang, kơkuh kơ. sư, chu dôm nơ̆r. sư pơma, ưh pă kơchu hăm nơ̆r. sư tơtă athei; tơdah lu iĕm păng pơtao mă pơgơ̆r lu iĕm chu yom. kră. yang 'bok. kei-dei lu iĕm, lei tơpă iĕm gô đei tơdrong pŭn hiôk. ||| nếu các ngươi kính sợ đức. giê-hô-va, phục sự. ngài, vâng theo lời phán. ngài, chẳng nghịch mạng lịnh của. ngài; nếu các ngươi và vua cai trị các ngươi vâng theo. giê-hô-va đức. chúa. trời các ngươi, thì chắc các ngươi sẽ được may mắn.
tơdah lu iĕm khan:. mưh nhôn ưh kơ đei rei pơtăm ưh kơ kĕch yuă, lei lăm sơnăm mă tơpơh lu nhôn gô sa kiơ. ||| ví các ngươi nói rằng:. nếu chúng tôi chẳng gieo, chang gặt mùa-màng, thì trong năm thứ bây sẽ lấy chi mà ăn?
tơdah lu iĕm kĕch yuă 'ba lăm tơring iĕm, 'nĕ kơ yuă truh tơ tôch mum chŭn. păng kư̆m 'nĕ kơ chă dônh mok lu ba oei đei. ||| khi các ngươi gặt lúa trong xứ mình, chớ có gặt đến cuối đầu đồng, và chớ mót lại những bông còn sót;
tơdah lu iĕm mơ̆t bơih lăm char. kanaan păng đei pơtăm boih lu plei 'long sa iĕm athei lăng lu plei noh ưh kơ rơgoh; lăm pêng sơnăm đe khă lu iĕm, 'nĕ kơ sa plei noh ôh. ||| khi các ngươi sẽ vào xứ. ca-na-an, và đã trồng các thứ cây trái rồi, hãy coi các trái chiếng nó không sạch, như chưa chịu phép cắt-bì; trong ba năm các ngươi hãy coi nó không sạch, chớ nên ăn;
tơdah lu iĕm pơm kơnê̆ kơ sư, na sư ôr krao truh tơ. inh, sĭt. inh gô kơtơ̆ng nơ̆r sư krao;. ||| nếu ức-hiếp họ, và họ kêu-van ta, chắc ta sẽ nghe tiếng kêu của họ;
tơdah lu iĕm pơyơ̆r tơmam soi 'blŏk bơnê kơ. kră. yang, lu iĕm athei pơyơ̆r mă trŏ thoi noh, na. inh iŏk. ||| khi các ngươi dâng của-lễ thù-ân cho đức. giê-hô-va, thì phải dâng thế nào cho của-lễ vì các ngươi được nhậm.
tơdah lu iĕm pơyơ̆r tơmam soi 'blŏk bơnê kơ. kră. yang, lu iĕm pơyơ̆r thoi yơ trŏ lăp na. inh iŏk. ||| khi các ngươi dâng của-lễ thù-ân cho đức. giê-hô-va, thì phải dâng một cách cho được nhậm;
tơdah lu iĕm sơngah kơ tơdrong pơgơ̆p. kră. yang 'bok. kei-dei lu iĕm, đei hlôi bơtho pơkă, na lu iĕm achăng lê̆. kră. yang, chă bơ̆jang awih awăn păng drap kơkuh kơ lu yang nai, lei tơdrong. kră. yang hil mĭl tih gô truh tơ lu iĕm, na lu iĕm gô lôch hiong răm đĭ đơ̆ng char 'lơ̆ng rŏ mă. kră. yang đei ăn boih. ||| nếu các ngươi bội giao ước của. giê-hô-va đức. chúa. trời các ngươi đã dặn biểu, nếu các ngươi đi hầu việc các thần khác, và quì lạy trước chúng nó, thì cơn thạnh nộ của đức. giê-hô-va sẽ nổi phừng cùng các ngươi, và các ngươi bị diệt mất liền khỏi xứ tốt đẹp mà. ngài đã ban cho.
tơdah lu iĕm tĕch dah răt kiơ đơ̆ng rông 'bôt iĕm, iĕm 'nĕ kơ pơgâm sa dih băl. ||| nếu các ngươi bán hay là mua vật chỉ với kẻ lân-cận mình, thì chớ lận anh em mình.
tơdah lu iĕm tơplih ming trong arih păng tơdrong jang lu iĕm tơpă, tơdah lu iĕm pơm 'lơ̆ng tơpăt tơduă lu iĕm mă tơpă. ||| vì nếu các ngươi thật lòng sửa đổi đường lối của mình và hành động của mình, nếu các ngươi thật lòng đối xử với nhau theo công lý
tơdah lu iĕm wă păng chu yom. inh,. lei lu iĕm gô sa tơmam 'lơ̆ng hloh lăm teh âu. ||| nếu các ngươi chịu nghe lời. ta, các ngươi sẽ được hưởng dùng hoa mầu trong xứ.
tơdah lu iĕm đĭ jơhngơ̆m chu pơm kiơ̆ dôm nơ̆r tơtă 'nâu, na iĕm gô đei pơtao pơtrơp hơ-oei 'bơ̆t tang-dŏ pơtao đawit hao gre aseh păng hao aseh hăm lu yŏng pơgơ̆r, lu kon pơlei ih gô mơ̆t lĕch rok trong 'măng jang hnam pơtao 'nâu. ||| vì nếu các ngươi thật lòng thực hiện những điều ấy, các ngươi sẽ có các vua tiếp nối nhau ngồi trên ngai của đa-vít. họ sẽ cỡi ngựa, đi xe chiến mã, cùng với bầy tôi hộ giá, và dân chúng vào ra các cổng của cung điện này
tơdah lu iĕm ưh kơ gơh tơblang lei lu iĕm gô ăn kơ inh thoi tơ kơpal 'noh mơ̆n, lu sư tơl:. ih pơpơn bĕ ăn kơ lu nhôn mơ̆ng. ||| còn nếu anh em không giải nó ra được, thì anh em phải nộp cho tôi ba mươi cái áo trong, và ba mươi bộ áo lễ. chúng đáp rằng:. hãy ra câu đố anh đi cho chúng tôi nghe.
tơdah lu iĕm ưh kơ wă chu yom ôh kơ. kră. yang, lei dang ei athei rơih iŏk bĕ kơdih lu iĕm wă kơkuh kơ bu, kơ lu yang mă lu 'bok yă lu iĕm kơkuh tơ gah hơlĕch kơ đak. krong. tih dah lu yang kon pơlei. amôrit lăm char lu sư; mă lu iĕm oei âu. mă-lei gah inh păng hnam inh gô chu yom păng pơm kiơ̆ kơ. kră. yang.". ||| nếu chẳng thích cho các ngươi phục sự đức. giê-hô-va, thì ngày nay hãy chọn ai mà mình muốn phục sự, hoặc các thần mà tổ phụ các ngươi đã hầu việc bên kia sông, hoặc các thần dân. a-mô-rít trong xứ mà các ngươi ở; nhưng ta và nhà ta sẽ phục sự đức. giê-hô-va.
tơdah lu iẽm 'bôh tơdrong 'nâu 'lởng păng lăp đon. kră. yang 'bok. kei-dei lu bỡn, lei bởn wơh bơngai năm jỡp anih, tơ 'nhõng oh lu bỡn mă oei tơ jỡp-jang dêh. isơrael, pơtơm lu 'bok soi păng bơngai. lêwi lăm rim pơlei tơring lú sư wă akũm hơdai hăm lu bờn. ||| nếu các ngươi thấy thế là được và nếu đó là ý định của ðức. chúa,. thiên. chúa chúng ta, thì chúng ta sẽ sai người đi mời các anh em khác của chúng ta từ khắp các miền đất ít-ra-en, mời các tư tế, các thầy. lê-vi sống tại các thành có đồng cỏ chung quanh, cùng tập hợp lại với chúng ta
tơdah lu kon ih vvei răk nỡr. inh pơgỡp. . păng nỡr tơtă mă. inh gô bơtho kơ lu sư,. lei kon hơlởp iu sư kữm gô oei tơ kơpal tang-dõ pơtao ih ling-lang ihlống hloi."'. ||| nếu con cái ngươi giữ giao ước ta,. và những chứng cớ mà ta sẽ dạy cho chúng nó,. thì con cái chúng nó cũng sẽ. ngồi trên ngôi ngươi đến đời đời.
tơdah lu kră pơgơ̆r mơ̆ng nơ̆r pơma hơlĕnh. lei đĭ lu bơngai jang tă jing pơm kơnê̆ ngăl. ||| lãnh đạo mà để tâm nghe lời gian trá thì thuộc hạ sẽ thành một lũ xấu xa.
tơdah lu nhôn pơm chơnang soi kơdih wă weh đơ̆ng. kră. yang, đei pơyơ̆r tơmam soi 'buh, tơmam soi phe 'ba, pơyơ̆r tơmam soi 'blŏk bơnê hiôk-hian tơ noh, apinh. kră. yang sek tơlang kơ lu nhôn. ||| nếu chúng tôi có lập một bàn thờ đặng lìa bỏ đức. giê-hô-va, nếu để dâng của lễ thiêu, của lễ chay, và của lễ thù ân tại đó, nguyện chánh đức. giê-hô-va đòi lại chúng tôi!
tơdah lu sư apinh ih: 'lu nhôn gô năm tơ yơ?'. ih khan kơ lu sư: 'nâu. kră. yang khan "bu. inh pơkă ăn kơ sư lôch kơ hơbuh, gô chu lôch kơ hơbuh,. bu. inh pơkă wă pơlôch hăm đao gưm, gô lôch kơ đao gưm. bu. inh pơkă wă ăn kơ sư lôch pơngot rơwĕt, gô lôch kơ pơngot rơwĕt. bu. inh pơkă wă ăn pơm bơnă, sư gô pơm bơnă.". ||| nếu chúng hỏi ngươi, 'chúng tôi biết đi đâu bây giờ?' thì ngươi hãy bảo chúng, 'chúa phán thế này "kẻ nào bị định cho ôn dịch, sẽ chết vì ôn dịch; kẻ nào bị định cho gươm đao, sẽ chết vì gươm đao; kẻ nào bị định cho nạn đói, sẽ chết vì nạn đói; kẻ nào bị định cho lưu đày, sẽ phải bị lưu đày."'
tơdah lu sư chu mơ̆ng păng bơ̆jang kơ. kră. yang, lei dôm năr lu sư gô arih đei tơdrong hiôk chơt, sơnăm lu sư pŭn jơnap. ||| nếu họ lắng nghe và tuân giữ, ngày đời của họ sẽ dư đầy hạnh phúc, tháng năm của họ sẽ chan chứa niềm vui.
tơdah lu sư khan, bẽ năm kiỡ nhồn; chă răp pơlôch đe. . chop pơlôch pơrăm lu bơngai ưh kơ đei yoch. ||| nếu chúng nó nói: "hãy đến cùng chúng ta, phục rinh làm đổ huyết người,. núp đợi hại vô-cớ kẻ chẳng tội;
tơdah lu sư khan:. pơ̆ng tơ noh gô nhôn năm tơ măr iĕm, lei ba gô dơ̆ng 'bơ̆t anih ba ưh kơ năm tơ lu sư. ||| nếu chúng nó nói:. hãy đợi chúng ta đến cùng các ngươi, thì chúng ta sẽ đứng lại chỗ mình và không lên đến cùng chúng nó.
tơdah lu sư kơdâu ôn đỡng đe pơrăm, char êyiptơ gô rôp akũm pơđĩ lu sư, păng pơlei. memphis gô 'bũ lễ lu sư. lu tơmam gĩt pơm păng hu lu sư gô gom lễ hăm jơla bơmrôm, ịu jơla gô chăt lăm bơsủn lu sư. ||| vì này chúng sẽ phải ra đi sau khi đất nước bị tàn phá. chúng sẽ bị. ai-cập tập trung, và sẽ bị. mốp chôn vùi. cỏ dại mọc um tùm trên đồ bạc chúng coi là quý giá, gai góc nằm ngổn ngang ngay trong lều chúng ở.
tơdah lu sư pơnam hŏk pơhrăm iŏk kiơ̆ trong kon pơlei pơla. inh păng pơkă pơkăm hăm anăn. inh. 'tơpă. kră. yang arih,' thoi sơ̆ lu sư kư̆m bơtho kon pơlei. inh pơkă hăm yang. baal, kơplah noh lu sư gô oei kơjăp lăm kon pơlei pơla. inh. ||| bấy giờ nếu chúng chăm chỉ học theo cách của dân. ta, lấy danh. ta mà thề nguyện, 'nguyện. chúa hằng sống làm chứng,' như trước kia chúng đã dạy dân. ta nhân danh. ba-anh thề nguyện, thì chúng sẽ được vững lập giữa dân. ta
tơdah lu sư đei tơdrong kiơ, lei lu sư năm tơ inh, wă kơ inh tơlang ăn kơ tơdróng lu sư păng bơtho tơblang ăn. lu sư bàt tơdrong juăt. krà. yang 'bok. kei-dei. ||| khi họ có việc gì, họ đến với con; con phân xử cho đôi bên và cho biết những thánh chỉ và lề luật của. thiên. chúa."
tơdah lu sư ưh kơ chu kiờ tơdrong juàt. inh, ưh kơ wei nỡr. inh tơtă,. ||| nếu chúng nó bội-nghịch luật-lệ _ta, , . . chẳng giữ các điều-răn của te,
tơdah lu sư ưh tam mă pơm kơnễ, lu sư ưh kơsũk tep; . tơdah lu sư ưh tâm mă pơm kơ đe, lu sư kral ưh kơ tep. ||| v1 nếu chúng nổ không làm điều ác, thì ngủ không đặng; bằng chưa gây cho người nào váp- phạm, thì giấc-ngủ bị cất khỏi chúng nó.
tơdah lu yŏng pơgơ̆r kơtơ̆ng khan inh đei pơma dơnuh hăm ih na jet: 'roi ăn kơ nhôn ih pơma dơnuh hăm pơtao kiơ; păng pơtao đei pơma kiơ hăm ih; 'nĕ ôn kơ lu nhôn, lei lu nhôn huay kơ pơlôch ih. ||| nếu các tướng lãnh nghe rằng tôi đã nói chuyện với ông, chắc chắn họ sẽ đến hỏi ông, 'hãy nói cho chúng tôi biết ông đã nói gì với vua; chớ giấu chúng tôi điều gì, bằng không chúng tôi sẽ không tha mạng ông đâu. vua đã nói với ông điều gì?
tơdah lăm char dei tơdrong pơngot rơwẽt lôch hơbuh, phang-ang hơbo 'ba ôm phỡk, lep 'ba lep tung-nut; kăp potăm dah đei lu ayăt wang dăr lu pơlei tih dah đei tơdrong gleh, jĩjăn truh. ||| khi trong xứ có nạn đói kém, dịch hạch, khi mùa màng hư hoại, khi có nạn châu chấu cào cào, khi quân thù vây hãm một thành nào của họ, trong bất cứ tai hoạ hay bệnh tật nào,
tơdah lăm hnam oei đei pă mợịĩt 'nu, lu sư kữm gô lôch pơđĩ. ||| nếu trong một ngôi nhà, chỉ còn lại mười người thôi, họ sẽ đều chết cả
tơdah minh 'nu bơhgai drŏ-kăn 'bôh jơ̆ng, sư athei chu iŏk tơdrong 'mê̆ noh lăm tơpơh năr bu hơtŭt 'bơm sư gô jing kơnê̆ 'mê̆-'mach truh kơmăng. ||| khi nào một người nữ có kinh-nguyệt, phải chịu ô-uế trong bảy ngày; hễ ai đụng đến người, sẽ bị ô-uế đến chiều tối.
tơdah minh 'nu bơngai 'bôh akâu sư pơ'ngeh păng wă đuh, dah jĭ sư thoi lak kok păng jing hloi chin tơ akâu sư, athei đe chông ba sư tơ 'bok soi tơm. arôn, dah năm ba sư tơ minh 'nu lăm lu kon drŏ-nglo sư, mă pơm 'bok soi. ||| khi một người nào da trên mình nổi sưng, mụt lở, hoặc một đốm trắng, dường sẽ trở thành trên da mình một vít phung, thì người ta phải dẫn người đó đến thầy tế-lễ. a-rôn, hay là đến một trong các con trai người là những thầy tế-lễ.
tơdah minh 'nu bơngai 'lơ̆p dơ̆ng pơđăm sơnăm truh tơ 'bar-jĭt sơnăm athei jô̆ tơdrong gĭt sư 'bar-jĭt seikơl jên hu kơ bơngai drŏ-nglo păng mơjĭt seikơl jên hu kơ bơngai drŏ-kăn. ||| nếu là một đứa con trẻ từ năm đến hai mươi tuổi, thì hãy định giá hai chục siếc-lơ cho một đứa trai, và mười siếc-lơ cho một đứa gái.
tơdah minh 'nu bơngai drŏ-kăn athei jô̆ tơdrong gĭt sư pêng-jĭt seikơl jên hu. ||| nếu là một người nữ, hãy định giá ba chục siếc-lơ bạc.
tơdah minh 'nu bơngai drŏ-nglo 'bĭch hăm minh 'nu bơngai drŏ-kăn đĭch, mă hơkơ̆t bơih hăm minh 'nu bơngai drŏ-nglo nai, mă-lei đe tam mă huai răt iŏk sư dah pơklaih sư rơngei đơ̆ng đĭch, na đe gô sek tơlang kơ măr sư, mă-lei ưh kơ truh kơ pơlôch ôh, yua kơ bơngai drŏ-kăn tam mă rơngei đơ̆ng đĭch. ||| nếu một người nam nằm và cấu-hiệp cùng một đứa tớ gái đã hứa gả cho một người, nhưng chưa chuộc ra, hoặc chưa được phóng-mọi; thì hai người đều sẽ bị hình-phạt, mà không phải đến chết, vì đứa tớ gái chưa được phóng-mọi.
tơdah minh 'nu bơngai drŏ-nglo dah drŏ-kăn đei rơka tơ kơ̆l, dah 'bơ̆t kang sư,. ||| khi nào một người nam hay nữ có vít trên đầu, hoặc nơi râu,
tơdah minh 'nu bơngai drŏ-nglo hưch kơ akăn 'nhŏng oh sư kơdih, noh jơ̆ tơdrong kơnê̆ 'mê̆-'mach. bơngai noh pơm kơnê̆ kơ 'nhŏng oh sư kơdih, bre sư gô ưh kơ đei kon ôh. ||| nếu một người nam lấy vợ của anh em mình, áy là sự ô-uế; người đó đã gây nhục cho anh em mình. hai người đó sẽ tuyệt-tự.
tơdah minh 'nu bơngai drŏ-nglo iŏk bre mĕ kon na pơm akăn, noh jing tơdrong kơnê̆ chư̆ dêh; đe gô soh pơđĭ pêng 'nu lu sư, wă kơ tơdrong kơnê̆ chư̆ noh huay pă đei lăm lu iĕm. ||| nếu một người nam lấy cả mẹ và con làm vợ, ấy là một sự tà-ác; hãy thiêu cả ba đi, hầu cho sự tà-ác đó không còn trong vòng các ngươi.
